Country,Models,Sales Share
USA,Apple iPhone 14,17%
USA,Apple iPhone 14 Pro Max,17%
USA,Apple iPhone 14 Pro,9%
USA,Apple iPhone 14 Plus,6%
USA,Apple iPhone 13,4%
China,Apple iPhone 14,5%
China,Apple iPhone 14 Pro Max,4%
China,Apple iPhone 13,4%
China,Apple iPhone 14 Pro,3%
China,OPPO Reno 9,3%
India,OnePlus Nord CE 2 Lite 5G,4%
India,vivo Y02,3%
India,Apple iPhone 13,3%
India,Samsung Galaxy A03 Core,2%
India,Samsung Galaxy A14 5G,2%
Germany,Apple iPhone 14,13%
Germany,Apple iPhone 14 Pro Max,12%
Germany,Apple iPhone 14 Pro,10%
Germany,Apple iPhone 13,7%
Germany,Apple iPhone 14 Plus,7%
UK,Apple iPhone 14 Pro Max,24%
UK,Apple iPhone 14 Pro,16%
UK,Apple iPhone 14,11%
UK,Samsung Galaxy A13,7%
UK,Samsung Galaxy A04s,4%
France,Apple iPhone 14,21%
France,Apple iPhone 14 Pro,9%
France,Apple iPhone 14 Pro Max,6%
France,Samsung Galaxy S22 5G,5%
France,Apple iPhone 14 Plus,4%
South Korea,Apple iPhone 14,9%
South Korea,Samsung Galaxy A13,7%
South Korea,Apple iPhone 14 Pro Max,7%
South Korea,Apple iPhone 14 Pro,7%
South Korea,Samsung Galaxy M33,6%
Japan,Apple iPhone 13,28%
Japan,Apple iPhone SE 2022,12%
Japan,Google Pixel 6a,7%
Japan,Apple iPhone 14,6%
Japan,Apple iPhone 14 Pro,5%